Transaction ID,Date,Amount,Account Number,Transaction Type,Suspicious Flag,Daily Transaction Count,Daily Transaction Volume,Monthly Transaction Count,Monthly Transaction Volume,Previous Alert,Geolocation,MCC,Customer Age,Device ID,Transaction Channel,Risk Score
TRX0050,2024-01-30,1851.16,8888999900,DUTF,0,1,1851.16,5,3613.64,0,"19.0760,72.8777",,29,DEV303,Mobile,15
TRX0051,2024-01-05,328.57,1234567890,UPI,0,1,328.57,6,12828.50,0,"35.6762,139.6503",,33,DEV123,Online,10
TRX0052,2024-02-26,8647.67,8888999900,SWIFT,1,1,8647.67,3,16810.05,0,"34.0522,-118.2437",,50,DEV303,Mobile,93
TRX0053,2024-02-19,399.60,5555666677,IMPS,0,1,399.60,7,11545.72,0,"51.5074,-0.1278",,30,DEV789,ATM,10
TRX0054,2024-03-08,95.40,8888999900,DRTF,0,1,95.40,2,319.91,0,"35.6762,139.6503",,46,DEV303,ATM,10
TRX0055,2024-03-26,357.62,1234567890,NEFT,0,1,357.62,1,357.62,1,"40.7128,-74.0060",,25,DEV123,Branch,10
TRX0056,2024-02-11,499.01,7777888899,IMPS,0,1,499.01,3,1630.73,1,"40.7128,-74.0060",,62,DEV101,Online,10
TRX0057,2024-02-20,5344.45,3333444455,SWIFT,0,1,5344.45,3,5646.62,1,"19.0760,72.8777",,42,DEV202,ATM,57
TRX0058,2024-01-11,1032.68,9876543210,DUTF,0,1,1032.68,5,4595.14,1,"19.0760,72.8777",,34,DEV456,ATM,20
TRX0059,2024-03-24,580.27,9876543210,CUTF,0,1,580.27,2,646.80,1,"19.0760,72.8777",,30,DEV456,Mobile,10
TRX0060,2024-01-16,9815.90,8888999900,RTGS,1,2,10989.76,6,13429.54,0,"51.5074,-0.1278",,42,DEV303,ATM,94
TRX0061,2024-02-15,8802.55,5555666677,RTGS,1,1,8802.55,8,20348.27,1,"35.6762,139.6503",,45,DEV789,Mobile,94
TRX0062,2024-03-11,788.84,8888999900,CUTF,0,1,788.84,3,1108.75,0,"51.5074,-0.1278",,58,DEV303,Online,10
TRX0063,2024-01-31,118.60,1234567890,NEFT,0,1,118.60,7,12947.10,0,"34.0522,-118.2437",,50,DEV123,ATM,10
TRX0064,2024-02-10,897.60,9876543210,ACH,0,1,897.60,3,9266.31,1,"40.7128,-74.0060",,61,DEV456,Branch,15
TRX0065,2024-01-12,935.41,1234567890,ACH,0,1,935.41,8,13882.51,0,"19.0760,72.8777",,27,DEV123,Branch,11
TRX0066,2024-02-09,1214.77,9876543210,CUTF,0,2,7669.76,4,10481.08,1,"35.6762,139.6503",,41,DEV456,Online,10
TRX0067,2024-02-14,298.95,7777888899,ACH,0,1,298.95,4,1929.68,0,"40.7128,-74.0060",,37,DEV101,Online,10
TRX0068,2024-01-05,170.25,7777888899,DUTF,0,1,170.25,6,8514.91,0,"19.0760,72.8777",,39,DEV101,Branch,10
TRX0069,2024-03-04,406.76,8888999900,DUTF,0,1,406.76,4,1515.51,0,"19.0760,72.8777",,65,DEV303,Online,12
TRX0070,2024-01-29,623.35,1234567890,DRTF,0,1,623.35,9,14505.86,1,"40.7128,-74.0060",,40,DEV123,Mobile,10
TRX0071,2024-03-18,6962.53,3333444455,SWIFT,1,1,6962.53,1,6962.53,1,"51.5074,-0.1278",,26,DEV202,ATM,72
TRX0072,2024-02-10,209.93,3333444455,ACH,0,1,209.93,4,5856.55,1,"35.6762,139.6503",,53,DEV202,Mobile,11
TRX0073,2024-03-05,1759.75,3333444455,ACH,0,1,1759.75,2,8722.28,0,"34.0522,-118.2437",,49,DEV202,ATM,18
TRX0074,2024-03-23,3697.61,8888999900,SWIFT,0,1,3697.61,5,5213.12,1,"51.5074,-0.1278",,46,DEV303,Branch,33
TRX0075,2024-02-09,405.44,9876543210,NEFT,0,3,8075.20,5,10886.52,0,"35.6762,139.6503",,31,DEV456,Online,13
TRX0076,2024-02-22,1806.58,8888999900,CUTF,0,1,1806.58,4,18616.63,1,"40.7128,-74.0060",,35,DEV303,Mobile,10
TRX0077,2024-03-15,1898.66,3333444455,NEFT,0,1,1898.66,3,10620.94,1,"40.7128,-74.0060",,34,DEV202,Online,10
TRX0078,2024-01-07,1872.15,7777888899,DRTF,0,1,1872.15,7,10387.06,0,"51.5074,-0.1278",,27,DEV101,Branch,11
TRX0079,2024-02-22,1982.94,1234567890,CRTF,0,1,1982.94,5,9519.92,0,"40.7128,-74.0060",,36,DEV123,Branch,26
TRX0080,2024-03-27,1898.26,3333444455,CRTF,0,1,1898.26,4,12519.20,0,"34.0522,-118.2437",,61,DEV202,ATM,12
TRX0081,2024-02-26,1550.28,3333444455,RTGS,0,1,1550.28,5,7406.83,0,"35.6762,139.6503",,57,DEV202,Branch,23
TRX0082,2024-02-14,1599.08,3333444455,ACH,0,1,1599.08,6,9005.91,1,"19.0760,72.8777",,59,DEV202,Mobile,10
TRX0083,2024-02-11,1207.28,1234567890,DRTF,0,1,1207.28,6,10727.20,0,"40.7128,-74.0060",,28,DEV123,ATM,17
TRX0084,2024-01-11,8724.38,5555666677,RTGS,1,1,8724.38,3,10026.43,1,"35.6762,139.6503",,26,DEV789,Online,83
TRX0085,2024-02-22,946.27,9876543210,CRTF,0,1,946.27,6,11832.79,0,"51.5074,-0.1278",,35,DEV456,Branch,10
TRX0086,2024-02-12,1372.74,9876543210,CRTF,0,1,1372.74,7,13205.53,1,"51.5074,-0.1278",,51,DEV456,Online,10
TRX0087,2024-01-22,449.34,5555666677,UPI,0,1,449.34,4,10475.77,0,"19.0760,72.8777",,32,DEV789,Mobile,14
TRX0088,2024-01-19,8068.22,7777888899,SWIFT,1,2,11234.78,8,18455.28,1,"35.6762,139.6503",,42,DEV101,Mobile,84
TRX0089,2024-02-03,461.12,9876543210,DRTF,0,1,461.12,8,13666.65,0,"51.5074,-0.1278",,62,DEV456,Mobile,10
TRX0090,2024-01-03,2554.28,9876543210,SWIFT,0,1,2554.28,6,7149.42,0,"40.7128,-74.0060",,53,DEV456,Branch,21
TRX0091,2024-03-21,456.65,9876543210,IMPS,0,1,456.65,3,1103.45,0,"35.6762,139.6503",,54,DEV456,Mobile,11
TRX0092,2024-03-23,1171.54,5555666677,DUTF,0,1,1171.54,3,3098.66,0,"19.0760,72.8777",,64,DEV789,Online,10
TRX0093,2024-03-11,321.93,3333444455,IMPS,0,1,321.93,5,12841.13,1,"19.0760,72.8777",,30,DEV202,Branch,10
TRX0094,2024-03-06,1164.45,9876543210,CUTF,0,1,1164.45,4,2267.90,1,"40.7128,-74.0060",,51,DEV456,Online,10
TRX0095,2024-02-18,9921.18,7777888899,SWIFT,1,1,9921.18,5,11850.86,0,"34.0522,-118.2437",,50,DEV101,Mobile,99
TRX0096,2024-01-14,118.58,5555666677,IMPS,0,1,118.58,5,10594.35,0,"19.0760,72.8777",,49,DEV789,Branch,10
TRX0097,2024-02-18,8839.08,9876543210,SWIFT,1,1,8839.08,9,22505.73,1,"51.5074,-0.1278",,48,DEV456,Branch,83
TRX0098,2024-03-27,250.40,7777888899,IMPS,0,1,250.40,6,7239.90,1,"40.7128,-74.0060",,27,DEV101,ATM,10
TRX0099,2024-03-27,1818.19,8888999900,DUTF,0,1,1818.19,6,7031.31,1,"34.0522,-118.2437",,59,DEV303,Online,19
TRX0100,2024-02-05,3690.65,7777888899,RTGS,0,1,3690.65,6,15541.51,0,"40.7128,-74.0060",,44,DEV101,ATM,37
TRX0101,2024-03-16,1439.16,8888999900,CUTF,0,1,1439.16,7,8470.47,1,"19.0760,72.8777",,63,DEV303,Branch,10
TRX0102,2024-03-11,8268.38,1234567890,SWIFT,1,1,8268.38,2,8626.00,0,"35.6762,139.6503",,60,DEV123,Mobile,78
TRX0103,2024-03-06,398.02,7777888899,DRTF,0,2,2229.42,7,7637.92,1,"35.6762,139.6503",,36,DEV101,ATM,10
TRX0104,2024-01-16,7791.07,5555666677,SWIFT,0,1,7791.07,6,18385.42,1,"19.0760,72.8777",,41,DEV789,ATM,68
TRX0105,2024-02-01,170.27,7777888899,IMPS,0,1,170.27,7,15711.78,1,"34.0522,-118.2437",,63,DEV101,Branch,10
TRX0106,2024-03-26,7667.27,3333444455,RTGS,1,1,7667.27,6,20508.40,1,"19.0760,72.8777",,43,DEV202,Online,80
TRX0107,2024-03-04,862.39,5555666677,DRTF,0,1,862.39,4,3961.05,1,"34.0522,-118.2437",,42,DEV789,ATM,10
TRX0108,2024-01-13,712.55,7777888899,DRTF,0,1,712.55,9,19167.83,1,"19.0760,72.8777",,36,DEV101,Online,10
TRX0109,2024-01-06,217.94,7777888899,IMPS,0,1,217.94,10,19385.77,1,"19.0760,72.8777",,45,DEV101,Mobile,10
TRX0110,2024-01-15,958.77,7777888899,DRTF,0,1,958.77,11,20344.54,1,"19.0760,72.8777",,42,DEV101,Online,10
TRX0111,2024-01-07,75.71,9876543210,NEFT,0,1,75.71,7,7225.13,1,"40.7128,-74.0060",,40,DEV456,ATM,10
TRX0112,2024-02-21,294.42,7777888899,ACH,0,1,294.42,8,16006.20,0,"35.6762,139.6503",,33,DEV101,Online,10
TRX0113,2024-02-17,183.75,5555666677,UPI,0,1,183.75,9,20532.02,0,"40.7128,-74.0060",,64,DEV789,Online,10
TRX0114,2024-02-28,587.89,3333444455,DUTF,0,2,674.74,7,9593.80,0,"40.7128,-74.0060",,55,DEV202,Branch,10
TRX0115,2024-03-22,432.80,9876543210,IMPS,0,1,432.80,5,2700.70,0,"19.0760,72.8777",,27,DEV456,ATM,10
TRX0116,2024-01-12,338.96,7777888899,NEFT,0,1,338.96,12,20683.50,0,"51.5074,-0.1278",,57,DEV101,Branch,10
TRX0117,2024-01-13,99.12,7777888899,ACH,0,2,811.67,13,20782.62,1,"51.5074,-0.1278",,31,DEV101,Online,10
TRX0118,2024-01-07,3068.68,1234567890,SWIFT,0,1,3068.68,10,17574.54,1,"35.6762,139.6503",,30,DEV123,Online,26
TRX0119,2024-01-05,1832.64,3333444455,DUTF,0,1,1832.64,3,13106.15,0,"34.0522,-118.2437",,52,DEV202,Online,19
TRX0120,2024-01-18,821.32,5555666677,CUTF,0,1,821.32,7,19206.74,0,"40.7128,-74.0060",,56,DEV789,Mobile,15
TRX0121,2024-02-09,105.24,1234567890,NEFT,0,2,4474.37,7,10832.44,1,"51.5074,-0.1278",,32,DEV123,Mobile,10
TRX0122,2024-03-08,756.92,3333444455,DRTF,0,1,756.92,7,21265.32,1,"35.6762,139.6503",,38,DEV202,Mobile,15
TRX0123,2024-03-28,1917.06,5555666677,CUTF,0,1,1917.06,5,5878.11,0,"19.0760,72.8777",,45,DEV789,Branch,25
TRX0124,2024-01-13,1132.64,5555666677,DUTF,0,1,1132.64,8,20339.38,1,"40.7128,-74.0060",,57,DEV789,Online,12
TRX0125,2024-03-03,8418.52,8888999900,SWIFT,1,1,8418.52,8,16888.99,1,"34.0522,-118.2437",,65,DEV303,Branch,81
TRX0126,2024-02-08,1733.22,7777888899,CUTF,0,1,1733.22,9,17739.42,0,"40.7128,-74.0060",,52,DEV101,ATM,10
TRX0127,2024-02-27,5411.40,9876543210,SWIFT,0,1,5411.40,10,27917.13,1,"40.7128,-74.0060",,60,DEV456,Branch,62
TRX0128,2024-01-14,669.12,5555666677,CUTF,0,2,787.70,9,21008.50,0,"35.6762,139.6503",,64,DEV789,Online,10
TRX0129,2024-02-08,401.66,3333444455,ACH,0,1,401.66,8,9995.46,1,"40.7128,-74.0060",,41,DEV202,Online,14
TRX0130,2024-02-24,54.62,8888999900,NEFT,0,1,54.62,5,18671.25,0,"19.0760,72.8777",,58,DEV303,Mobile,10
TRX0131,2024-01-12,5157.05,8888999900,SWIFT,0,1,5157.05,7,18586.59,0,"19.0760,72.8777",,33,DEV303,Branch,43
TRX0132,2024-03-12,149.59,5555666677,UPI,0,2,1912.56,6,6027.70,0,"40.7128,-74.0060",,45,DEV789,Branch,10
TRX0133,2024-01-20,207.27,1234567890,DUTF,0,1,207.27,11,17781.81,1,"34.0522,-118.2437",,53,DEV123,ATM,10
TRX0134,2024-02-08,1854.88,1234567890,RTGS,0,1,1854.88,8,12687.32,0,"40.7128,-74.0060",,55,DEV123,Branch,15
TRX0135,2024-03-26,5576.20,5555666677,RTGS,0,1,5576.20,7,11603.90,0,"35.6762,139.6503",,44,DEV789,Mobile,65
TRX0136,2024-03-03,525.47,5555666677,ACH,0,1,525.47,8,12129.37,0,"34.0522,-118.2437",,46,DEV789,Mobile,10
TRX0137,2024-01-03,1547.41,8888999900,NEFT,0,1,1547.41,8,20134.00,1,"34.0522,-118.2437",,26,DEV303,Branch,22
TRX0138,2024-03-20,355.00,5555666677,UPI,0,1,355.00,9,12484.37,0,"35.6762,139.6503",,33,DEV789,ATM,10
TRX0139,2024-02-03,348.17,9876543210,DRTF,0,2,809.29,11,28265.30,1,"34.0522,-118.2437",,39,DEV456,Online,10
TRX0140,2024-02-11,1874.73,9876543210,CUTF,0,1,1874.73,12,30140.03,1,"51.5074,-0.1278",,45,DEV456,Mobile,19
TRX0141,2024-03-18,3287.69,8888999900,RTGS,0,1,3287.69,9,20176.68,0,"35.6762,139.6503",,42,DEV303,Branch,38
TRX0142,2024-03-19,695.81,7777888899,CUTF,0,1,695.81,8,8333.73,1,"40.7128,-74.0060",,41,DEV101,Online,10
TRX0143,2024-03-28,4582.96,9876543210,SWIFT,0,1,4582.96,6,7283.66,1,"51.5074,-0.1278",,55,DEV456,Branch,36
TRX0144,2024-02-28,1452.44,5555666677,ACH,0,1,1452.44,10,21984.46,1,"35.6762,139.6503",,35,DEV789,Branch,17
TRX0145,2024-02-06,1303.06,7777888899,NEFT,0,1,1303.06,10,19042.48,1,"19.0760,72.8777",,52,DEV101,ATM,18
TRX0146,2024-01-29,495.26,3333444455,UPI,0,1,495.26,4,13601.41,0,"19.0760,72.8777",,29,DEV202,Online,10
TRX0147,2024-02-23,1841.64,7777888899,RTGS,0,1,1841.64,11,20884.12,1,"34.0522,-118.2437",,53,DEV101,Branch,26
TRX0148,2024-02-10,5693.94,5555666677,RTGS,0,1,5693.94,11,27678.40,1,"40.7128,-74.0060",,32,DEV789,ATM,52
TRX0149,2024-01-17,741.79,7777888899,NEFT,0,2,2598.47,14,21524.41,0,"34.0522,-118.2437",,45,DEV101,Mobile,10
TRX0150,2024-01-15,9753.54,3333444455,SWIFT,1,1,9753.54,5,23354.95,0,"40.7128,-74.0060",,60,DEV202,Mobile,99
TRX0151,2024-03-08,9861.95,3333444455,SWIFT,1,2,10618.87,8,31127.27,0,"34.0522,-118.2437",,47,DEV202,Branch,100
TRX0152,2024-03-02,254.42,8888999900,UPI,0,1,254.42,10,20431.10,1,"34.0522,-118.2437",,57,DEV303,ATM,10
TRX0153,2024-01-21,1726.66,5555666677,RTGS,0,1,1726.66,10,22735.16,1,"51.5074,-0.1278",,56,DEV789,Branch,16
TRX0154,2024-02-19,90.88,5555666677,UPI,0,2,490.48,12,27769.28,1,"19.0760,72.8777",,36,DEV789,Mobile,10
TRX0155,2024-02-02,1386.22,3333444455,DUTF,0,1,1386.22,9,11381.68,0,"40.7128,-74.0060",,42,DEV202,Online,10
TRX0156,2024-01-27,1806.59,8888999900,DRTF,0,1,1806.59,9,21940.59,0,"35.6762,139.6503",,32,DEV303,Branch,10
TRX0157,2024-01-15,1233.26,1234567890,DRTF,0,1,1233.26,12,19015.07,0,"34.0522,-118.2437",,57,DEV123,Mobile,18
TRX0158,2024-02-16,185.39,7777888899,IMPS,0,1,185.39,12,21069.51,1,"19.0760,72.8777",,49,DEV101,Branch,10
TRX0159,2024-01-28,360.63,8888999900,UPI,0,1,360.63,10,22301.22,0,"51.5074,-0.1278",,36,DEV303,Mobile,10
TRX0160,2024-03-21,73.58,8888999900,NEFT,0,1,73.58,11,20504.68,1,"19.0760,72.8777",,27,DEV303,Branch,10
TRX0161,2024-01-18,1932.21,3333444455,DRTF,0,1,1932.21,6,25287.16,0,"35.6762,139.6503",,42,DEV202,Mobile,25
TRX0162,2024-03-29,421.17,3333444455,IMPS,0,1,421.17,9,31548.44,0,"40.7128,-74.0060",,63,DEV202,Online,10
TRX0163,2024-02-27,7433.51,5555666677,SWIFT,1,1,7433.51,13,35202.79,1,"34.0522,-118.2437",,29,DEV789,Branch,81
TRX0164,2024-02-16,667.26,7777888899,CUTF,0,2,852.65,13,21736.77,1,"19.0760,72.8777",,28,DEV101,ATM,10
TRX0165,2024-03-16,1222.34,1234567890,DUTF,0,1,1222.34,3,9848.34,0,"35.6762,139.6503",,62,DEV123,Online,21
TRX0166,2024-03-30,389.10,5555666677,IMPS,0,1,389.10,10,12873.47,0,"51.5074,-0.1278",,52,DEV789,ATM,10
TRX0167,2024-01-11,7882.73,3333444455,SWIFT,1,1,7882.73,7,33169.89,0,"40.7128,-74.0060",,53,DEV202,ATM,81
TRX0168,2024-03-30,22.01,8888999900,IMPS,0,1,22.01,12,20526.69,0,"51.5074,-0.1278",,43,DEV303,Online,10
TRX0169,2024-03-10,496.59,1234567890,UPI,0,1,496.59,4,10344.93,0,"35.6762,139.6503",,41,DEV123,Online,10
TRX0170,2024-02-14,335.06,1234567890,CRTF,0,1,335.06,9,13022.38,1,"35.6762,139.6503",,27,DEV123,Mobile,12
TRX0171,2024-02-27,299.55,9876543210,DRTF,0,2,5710.95,13,30439.58,1,"34.0522,-118.2437",,52,DEV456,Branch,10
TRX0172,2024-02-03,1282.74,7777888899,CUTF,0,1,1282.74,14,23019.51,0,"34.0522,-118.2437",,52,DEV101,Online,17
TRX0173,2024-03-22,471.94,5555666677,DRTF,0,1,471.94,11,13345.41,1,"51.5074,-0.1278",,52,DEV789,Mobile,10
TRX0174,2024-03-16,7252.01,3333444455,SWIFT,1,1,7252.01,10,38800.45,1,"35.6762,139.6503",,62,DEV202,ATM,72
TRX0175,2024-01-28,1704.67,9876543210,NEFT,0,1,1704.67,8,8929.80,0,"19.0760,72.8777",,43,DEV456,Online,24
TRX0176,2024-03-11,1138.15,8888999900,CRTF,0,2,1926.99,13,21664.84,0,"35.6762,139.6503",,48,DEV303,Mobile,10
TRX0177,2024-01-27,3854.56,5555666677,SWIFT,0,1,3854.56,11,26589.72,1,"19.0760,72.8777",,44,DEV789,Branch,36
TRX0178,2024-01-19,1488.99,9876543210,NEFT,0,2,1777.56,9,10418.79,1,"51.5074,-0.1278",,27,DEV456,Branch,18
TRX0179,2024-03-17,461.69,9876543210,NEFT,0,1,461.69,7,7745.35,1,"19.0760,72.8777",,60,DEV456,Branch,10
TRX0180,2024-02-04,704.97,5555666677,ACH,0,1,704.97,14,35907.76,1,"19.0760,72.8777",,61,DEV789,Online,14
TRX0181,2024-01-10,5799.49,1234567890,RTGS,0,1,5799.49,13,24814.56,0,"40.7128,-74.0060",,34,DEV123,Online,55
TRX0182,2024-03-21,285.66,3333444455,UPI,0,1,285.66,11,39086.11,0,"34.0522,-118.2437",,38,DEV202,Online,10
TRX0183,2024-02-11,166.44,3333444455,NEFT,0,1,166.44,10,11548.12,1,"35.6762,139.6503",,65,DEV202,Online,10
TRX0184,2024-02-29,1754.67,8888999900,DRTF,0,1,1754.67,6,20425.92,0,"19.0760,72.8777",,38,DEV303,ATM,19
TRX0185,2024-02-28,330.59,3333444455,UPI,0,3,1005.33,11,11878.71,1,"40.7128,-74.0060",,33,DEV202,Branch,10
TRX0186,2024-01-09,1647.75,1234567890,CRTF,0,2,1993.11,14,26462.31,0,"35.6762,139.6503",,25,DEV123,Mobile,16
TRX0187,2024-03-04,358.32,7777888899,UPI,0,1,358.32,9,8692.05,1,"19.0760,72.8777",,47,DEV101,Branch,10
TRX0188,2024-01-28,187.61,7777888899,UPI,0,1,187.61,15,21712.02,0,"34.0522,-118.2437",,39,DEV101,Online,10
TRX0189,2024-03-17,8155.49,5555666677,RTGS,1,2,8319.64,12,21500.90,0,"51.5074,-0.1278",,65,DEV789,ATM,79
TRX0190,2024-03-09,311.95,5555666677,ACH,0,1,311.95,13,21812.85,0,"40.7128,-74.0060",,35,DEV789,Mobile,10
TRX0191,2024-03-12,1930.69,9876543210,ACH,0,1,1930.69,8,9676.04,1,"40.7128,-74.0060",,32,DEV456,Online,17
TRX0192,2024-01-25,1546.33,7777888899,DRTF,0,1,1546.33,16,23258.35,1,"19.0760,72.8777",,54,DEV101,Branch,15
TRX0193,2024-01-05,330.52,8888999900,DUTF,0,1,330.52,11,22631.74,0,"40.7128,-74.0060",,37,DEV303,Mobile,10
TRX0194,2024-03-07,262.76,8888999900,DUTF,0,1,262.76,14,21927.60,1,"40.7128,-74.0060",,33,DEV303,Mobile,10
TRX0195,2024-03-22,988.18,3333444455,DUTF,0,1,988.18,12,40074.29,0,"51.5074,-0.1278",,62,DEV202,Online,19
